case,time,production_target,inlet_flow_rate
0,0.0,0.47556695,27.49182336585739
0,0.1,0.48162717,27.42174954446674
0,0.2,0.4874737,28.297447892131473
0,0.3,0.49306938,29.16547757327245
0,0.4,0.4983852,29.977611715008656
0,0.5,0.5034005,30.737893079795047
0,0.6,0.5081024,31.446641943252768
0,0.7,0.51248544,32.104681072349
0,0.8,0.5165503,32.71331616424527
0,0.9,0.52030337,33.275114334589816
0,1.0,0.52375543,33.79288184684221
0,1.1,0.52692044,34.26949986785795
0,1.2,0.5298148,34.7082053116241
0,1.3,0.5324562,35.111902080279584
0,1.4,0.5348626,35.482949374303175
0,1.5,0.5370512,35.822868864330005
0,1.6,0.53903824,36.133025836499144
0,1.7,0.5408381,36.413665168468654
0,1.8,0.5424628,36.664087066946436
0,1.9,0.5439218,36.8828928207566
0,2.0,0.54522234,37.0685724867719
0,2.1,0.5463692,37.21881952041723
0,2.2,0.54736453,37.330576520066614
0,2.3,0.5482091,37.4017954546699
0,2.4,0.5489023,37.43019805279069
0,2.5,0.5494423,37.41350151064974
0,2.6,0.54982746,37.35105432788119
0,2.7,0.55005604,37.24213718002905
0,2.8,0.5501276,37.087972739203344
0,2.9,0.5500429,36.89027275230232
0,3.0,0.54980487,36.65250237528422
0,3.1,0.54941875,36.37911661572713
0,3.2,0.5488927,36.0760881871939
0,3.3,0.5482375,35.749911043408254
0,3.4,0.54746723,35.40866375663686
0,3.5,0.54659903,35.06096699350499
0,3.6,0.5456528,34.71574535836312
0,3.7,0.5446511,34.382341978389505
0,3.8,0.5436187,34.06999990306966
0,3.9,0.54258204,33.78759585443567
0,4.0,0.5415688,33.543625029556736
0,4.1,0.54060715,33.3456962116463
0,4.2,0.5397249,33.200251446602785
0,4.3,0.5389489,33.11272243030041
0,4.4,0.53830427,33.08723635166432
0,4.5,0.53781354,33.12638593025983
0,4.6,0.53749603,33.23136657965094
0,4.7,0.53736687,33.401471137051935
0,4.8,0.53743684,33.634870634642986
0,4.9,0.5377114,33.927621295981396
0,5.0,0.5381905,34.274336010409904
0,5.1,0.5388681,34.66778863001279
0,5.2,0.5397324,35.099525806610075
0,5.3,0.54076505,35.558657698704465
0,5.4,0.54194236,36.033885317958585
0,5.5,0.5432342,36.51097125734132
0,5.6,0.54460573,36.97570085408607
0,5.7,0.54601693,37.411621821222674
0,5.8,0.5474237,37.80174191806321
0,5.9,0.5487788,38.128650083831666
0,6.0,0.5500321,38.373952488745005
0,6.1,0.55113196,38.51990154771751
0,6.2,0.5520262,38.54949496521646
0,6.3,0.55266285,38.44671157984948
0,6.4,0.5529911,38.1973260030982
0,6.5,0.5529624,37.789787159026645
0,6.6,0.55253166,37.21595016097864
0,6.7,0.5516572,36.47024800801169
0,6.8,0.5503025,35.552156991535085
0,6.9,0.54843634,34.46486261579303
0,7.0,0.54603326,33.21592939205178
0,7.1,0.54307485,31.8175975441552
0,7.2,0.53954875,30.284613875038076
0,7.3,0.53545,28.633598713309837
0,7.4,0.53078073,26.886142914266262
0,7.5,0.5255503,25.07229339551995
0,7.6,0.51977515,23.222483597612598
0,7.7,0.5134786,21.358971833255573
0,7.8,0.5066909,19.49967400665523
0,7.9,0.49944875,17.66390286450124
0,8.0,0.49179468,15.87702604799485
0,8.1,0.4837772,14.166456853513596
0,8.2,0.47544986,12.55031916583169
0,8.3,0.46687114,11.041434284225177
0,8.4,0.45810324,9.6503681493419
0,8.5,0.4492122,8.386238489202535
0,8.6,0.44026637,7.254995608536655
0,8.7,0.43133658,6.260470340896116
0,8.8,0.4224944,5.403328515076711
0,8.9,0.41381186,4.682502188317453
0,9.0,0.40536022,4.094791665890855
0,9.1,0.39720893,3.635310235054596
0,9.2,0.3894248,3.297978331049959
0,9.3,0.38207054,3.0752894770386234
0,9.4,0.37520415,2.9592420179923717
0,9.5,0.36887735,2.9407781937977004
0,9.6,0.3631349,3.010640655349103
0,9.7,0.3580137,3.1592942744992283
0,9.8,0.3535415,3.376716052547587
0,9.9,0.34973693,3.654690657303858
0,10.0,0.34660834,3.978576059127769
1,0.0,0.47302127,15.578013860925322
1,0.1,0.46883398,15.452671678519927
1,0.2,0.46475112,14.943738622854779
