case,time,production_target,inlet_flow_rate
0,0.0,0.35455197,1.6645063980082395
0,0.1,0.34709123,0.7281930563203101
0,0.2,0.34033734,0.8532899180836673
0,0.3,0.33440235,1.1590063807291655
0,0.4,0.3293887,1.5904495614547451
0,0.5,0.32538673,2.1402457844499354
0,0.6,0.322473,2.798898003999932
0,0.7,0.3207086,3.5571045783048385
0,0.8,0.32013774,4.406093719622573
0,0.9,0.3207872,5.338131731593564
0,1.0,0.32266548,6.3461618611776265
0,1.1,0.32576275,7.42416880424551
0,1.2,0.33005148,8.567414502828381
0,1.3,0.33548686,9.772001810646646
0,1.4,0.34200794,11.035036291746827
0,1.5,0.349539,12.3544491188
0,1.6,0.3579913,13.728887107489635
0,1.7,0.367265,15.157388914519979
0,1.8,0.37725076,16.638833596112622
0,1.9,0.3878328,18.172414616254116
0,2.0,0.39889038,19.756293682840067
0,2.1,0.41030037,21.387802271324013
0,2.2,0.42193928,23.062863667895524
0,2.3,0.43368575,24.77562626798154
0,2.4,0.445422,26.51763118493677
0,2.5,0.4570357,28.278142100578503
0,2.6,0.46842188,30.044631476102776
0,2.7,0.47948384,31.802753711167895
0,2.8,0.4901346,33.53621927350484
0,2.9,0.50029695,35.22625352519078
0,3.0,0.5099051,36.852638180360564
0,3.1,0.5189039,38.39418165435197
0,3.2,0.5272496,39.83058537972218
0,3.3,0.5349093,41.14269899146954
0,3.4,0.54186034,42.31294278273138
0,3.5,0.54809034,43.32680721052816
0,3.6,0.55359584,44.17232536276787
0,3.7,0.5583816,44.841107578675434
0,3.8,0.56245977,45.32864641687472
0,3.9,0.5658485,45.633716720908915
0,4.0,0.56857127,45.75902215392396
0,4.1,0.57065547,45.71000115453204
0,4.2,0.5721315,45.4948770997842
0,4.3,0.5730319,45.12412937253515
0,4.4,0.5733902,44.60942262478316
0,4.5,0.5732399,43.96313123224541
0,4.6,0.5726148,43.199274748628056
0,4.7,0.571547,42.330307134037874
0,4.8,0.57006747,41.36942428318986
0,4.9,0.5682054,40.32897348316604
0,5.0,0.5659878,39.220418656321876
0,5.1,0.56344014,38.05514019064529
0,5.2,0.5605852,36.84267186820936
0,5.3,0.55744445,35.59295411599484
0,5.4,0.5540373,34.31450538428216
0,5.5,0.5503818,33.015588281082444
0,5.6,0.5464947,31.70390995291399
0,5.7,0.5423923,30.387216620440032
0,5.8,0.5380899,29.072145202901986
0,5.9,0.5336024,27.76524474708471
0,6.0,0.5289451,26.473281008546518
0,6.1,0.52413315,25.202055898216972
0,6.2,0.51918215,23.95731549876644
0,6.3,0.5141082,22.744389174464803
0,6.4,0.5089278,21.568011762493704
0,6.5,0.50365824,20.432753891141843
0,6.6,0.49831718,19.342319082935468
0,6.7,0.49292278,18.299993174270835
0,6.8,0.48749357,17.308456657864124
0,6.9,0.48204815,16.369637098336362
0,7.0,0.47660545,15.485230267767866
0,7.1,0.4711839,14.655748557943793
0,7.2,0.46580192,13.881724609069504
0,7.3,0.4604772,13.162703177590988
0,7.4,0.45522705,12.498193108454151
0,7.5,0.45006752,11.886644029323575
0,7.6,0.44501433,11.327099399462929
0,7.7,0.44008178,10.817443694997111
0,7.8,0.43528298,10.3555835650817
0,7.9,0.43063033,9.939761162422986
0,8.0,0.42613477,9.567486159817038
0,8.1,0.42180645,9.23680354698156
0,8.2,0.41765457,8.945615505953311
0,8.3,0.413687,8.69150071621341
0,8.4,0.40991154,8.473168753993942
0,8.5,0.4063351,8.28870779428447
0,8.6,0.40296412,8.13662482241213
0,8.7,0.3998052,8.01606593233114
0,8.8,0.3968643,7.925621952832916
0,8.9,0.3941481,7.8651351821245585
0,9.0,0.39166313,7.833878783564361
0,9.1,0.3894163,7.831688853259799
0,9.2,0.3874151,7.858730881124572
0,9.3,0.3856672,7.9149988576515025
0,9.4,0.3841809,8.001011501010902
0,9.5,0.38296467,8.1170856419054
0,9.6,0.38202733,8.263849949758614
0,9.7,0.38137794,8.442017502232824
0,9.8,0.38102528,8.652109684317155
0,9.9,0.38097832,8.896402140998644
0,10.0,0.38124534,9.16937190188825
1,0.0,0.4278937,19.613192098695546
1,0.1,0.43366054,19.514027134383127
1,0.2,0.43962106,20.473755073031015
1,0.3,0.44573113,21.488421634853374
1,0.4,0.4519446,22.512194049973616
1,0.5,0.45821515,23.54443580771049
1,0.6,0.4644963,24.57950964141651
1,0.7,0.4707438,25.612193684928364
1,0.8,0.4769148,26.635866045821196
1,0.9,0.48297024,27.645391647237574
1,1.0,0.48887426,28.63483824931583
1,1.1,0.49459514,29.598923902752393
1,1.2,0.5001057,30.532849278869726
1,1.3,0.5053827,31.431493009937252
1,1.4,0.5104074,32.29063666317616
1,1.5,0.51516473,33.10579371509653
1,1.6,0.519643,33.87270093381492
1,1.7,0.5238334,34.58717811300533
1,1.8,0.5277293,35.244848776417385
1,1.9,0.5313253,35.84075888725064
1,2.0,0.53461677,36.36977591596912
1,2.1,0.5375991,36.82618206500463
1,2.2,0.54026693,37.203479868863226
1,2.3,0.5426137,37.49464123811221
1,2.4,0.54463136,37.692221642274454
1,2.5,0.5463096,37.787778150828025
1,2.6,0.54763633,37.773319969667014
1,2.7,0.54859746,37.64068716252429
1,2.8,0.5491768,37.38177723955175
1,2.9,0.54935676,36.9897454612548
1,3.0,0.54911894,36.45919622059659
1,3.1,0.54844403,35.78571718458116
1,3.2,0.5473134,34.968073304628554
1,3.3,0.54570925,34.00707839967789
1,3.4,0.543616,32.90703603981198
1,3.5,0.54102045,31.674767709468764
1,3.6,0.53791326,30.320886338150636
1,3.7,0.5342895,28.85893698052861
1,3.8,0.5301494,27.305610452055774
1,3.9,0.5254992,25.680832433357523
1,4.0,0.52035165,24.006703832125243
1,4.1,0.51472616,22.30594566493291
1,4.2,0.5086496,20.60117285331357
1,4.3,0.5021561,18.914747608880855
1,4.4,0.49528694,17.269184239881945
1,4.5,0.48809072,15.686573996110155
1,4.6,0.4806225,14.18662632605403
1,4.7,0.47294334,12.78601399194154
1,4.8,0.4651198,11.498647991686152
1,4.9,0.45722276,10.335330596611525
1,5.0,0.44932628,9.303788546832513
1,5.1,0.44150677,8.409105079851024
1,5.2,0.4338413,7.653220816954737
1,5.3,0.42640662,7.035808594246578
1,5.4,0.4192775,6.554038418227206
1,5.5,0.41252542,6.203195269280026
1,5.6,0.4062175,5.977207858788091
1,5.7,0.4004147,5.868306959305101
1,5.8,0.39517134,5.868358694289447
1,5.9,0.39053333,5.9679808791290165
1,6.0,0.38653803,6.1579940065353345
1,6.1,0.3832131,6.4286726063879165
1,6.2,0.38057625,6.770463787150074
1,6.3,0.37863487,7.173873195672858
1,6.4,0.37738645,7.630022737882633
1,6.5,0.3768184,8.130057971690015
1,6.6,0.37690833,8.665383713519786
1,6.7,0.37762547,9.228442948809985
1,6.8,0.37893042,9.8112629699507
1,6.9,0.38077724,10.407161935925291
1,7.0,0.38311374,11.009237832147123
1,7.1,0.3858829,11.611134854688938
1,7.2,0.38902435,12.207064923094832
1,7.3,0.3924753,12.791320989324804
1,7.4,0.39617187,13.358583366999074
1,7.5,0.40005025,13.903842151983378
1,7.6,0.4040482,14.42274541327451
1,7.7,0.40810522,14.91058951146614
1,7.8,0.41216424,15.363696942797326
1,7.9,0.4161719,15.778429602343554
1,8.0,0.42007947,16.151853556257144
1,8.1,0.4238429,16.481183495130765
1,8.2,0.42742366,16.764621127499357
1,8.3,0.4307884,17.00050728448006
1,8.4,0.43390948,17.18820213108282
1,8.5,0.43676448,17.327317106192353
1,8.6,0.43933615,17.41817320787941
1,8.7,0.44161257,17.462096230323482
1,8.8,0.44358653,17.460737135342264
1,8.9,0.44525498,17.416106310639396
1,9.0,0.44661924,17.33126881442256
1,9.1,0.4476842,17.209397788231747
1,9.2,0.4484582,17.054302271213857
1,9.3,0.4489525,16.869992521125482
1,9.4,0.44918096,16.66077008306251
1,9.5,0.44915977,16.431194711817447
1,9.6,0.44890717,16.185983186074665
1,9.7,0.44844303,15.929781621827884
1,9.8,0.44778854,15.667073397743675
1,9.9,0.44696605,15.401298458619726
1,10.0,0.4459988,15.147081506083174
2,0.0,0.65272677,79.15863488192993
2,0.1,0.6522767,79.13614653939743
2,0.2,0.6516554,78.5558099406541
2,0.3,0.6508648,77.84174849332183
2,0.4,0.64990616,77.04006406308659
2,0.5,0.64878047,76.14945866342264
2,0.6,0.6474878,75.16644072262322
2,0.7,0.6460273,74.09622301309514
2,0.8,0.6443968,73.05074835324183
2,0.9,0.64259285,72.58374705004996
2,1.0,0.6406102,71.01476325541712
2,1.1,0.6384419,69.04596130341436
2,1.2,0.6360796,67.05489532898935
2,1.3,0.6335132,65.05884371606592
2,1.4,0.63073117,63.06102434948935
2,1.5,0.62772113,61.062406638060004
2,1.6,0.6244705,59.06337018757084
2,1.7,0.6209662,57.06409100236422
2,1.8,0.6171965,55.06466111154785
2,1.9,0.6131509,53.06513330242582
2,2.0,0.6088214,51.065540303486884
2,2.1,0.60420316,49.065903934967075
2,2.2,0.5992953,47.06623990236402
2,2.3,0.59410167,45.06656056796137
2,2.4,0.588631,43.06687678091447
2,2.5,0.58289814,41.06719935578739
2,2.6,0.5769239,39.06754063437271
2,2.7,0.5707352,37.067916647032824
2,2.8,0.564365,35.06835078095078
2,2.9,0.5578526,33.068880988642114
2,3.0,0.551242,31.06957586305427
2,3.1,0.5445823,29.070575889727156
2,3.2,0.5379266,27.072220614313448
2,3.3,0.53133094,25.075564186526343
2,3.4,0.524853,23.085771179489996
2,3.5,0.51855147,21.204630359636944
2,3.6,0.51248443,21.240924195497502
2,3.7,0.50670844,20.524370950223165
2,3.8,0.5012772,19.813312182486644
2,3.9,0.49624062,19.25893182900209
2,4.0,0.4916438,18.85544412513377
2,4.1,0.48752627,18.59384288767506
2,4.2,0.48392135,18.466207112518568
2,4.3,0.48085576,18.46437284232226
2,4.4,0.47834912,18.579815150403203
2,4.5,0.47641405,18.804301311684153
2,4.6,0.4750564,19.130044838618137
2,4.7,0.47427508,19.549295103693503
2,4.8,0.4740629,20.0552628050521
2,4.9,0.47440672,20.641451272382785
2,5.0,0.4752885,21.302432722249716
2,5.1,0.4766855,22.033019648758376
2,5.2,0.47857141,22.82904812538077
2,5.3,0.48091662,23.686564843645023
